"Country or Area","Year","Area","Month","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Åland Islands","2014","Total","August","Data tabulated by year of occurrence","Final figure, complete","2016","24",""
"Åland Islands","2014","Total","September","Data tabulated by year of occurrence","Final figure, complete","2016","33",""
"Åland Islands","2014","Total","October","Data tabulated by year of occurrence","Final figure, complete","2016","25",""
"Åland Islands","2014","Total","November","Data tabulated by year of occurrence","Final figure, complete","2016","24",""
"Åland Islands","2014","Total","December","Data tabulated by year of occurrence","Final figure, complete","2016","16",""
"Åland Islands","2013","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2015","287",""
"Åland Islands","2013","Total","January","Data tabulated by year of occurrence","Final figure, complete","2015","23",""
"Åland Islands","2013","Total","February","Data tabulated by year of occurrence","Final figure, complete","2015","17",""
"Åland Islands","2013","Total","March","Data tabulated by year of occurrence","Final figure, complete","2015","28",""
"Åland Islands","2013","Total","April","Data tabulated by year of occurrence","Final figure, complete","2015","22",""
"Åland Islands","2013","Total","May","Data tabulated by year of occurrence","Final figure, complete","2015","32",""
"Åland Islands","2013","Total","June","Data tabulated by year of occurrence","Final figure, complete","2015","32",""
"Åland Islands","2013","Total","July","Data tabulated by year of occurrence","Final figure, complete","2015","19",""
"Åland Islands","2013","Total","August","Data tabulated by year of occurrence","Final figure, complete","2015","28",""
"Åland Islands","2013","Total","September","Data tabulated by year of occurrence","Final figure, complete","2015","27",""
"Åland Islands","2013","Total","October","Data tabulated by year of occurrence","Final figure, complete","2015","24",""
"Åland Islands","2013","Total","November","Data tabulated by year of occurrence","Final figure, complete","2015","19",""
"Åland Islands","2013","Total","December","Data tabulated by year of occurrence","Final figure, complete","2015","16",""
"Åland Islands","2012","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2014","292",""
"Åland Islands","2012","Total","January","Data tabulated by year of occurrence","Final figure, complete","2014","29",""
"Åland Islands","2012","Total","February","Data tabulated by year of occurrence","Final figure, complete","2014","27",""
"Åland Islands","2012","Total","March","Data tabulated by year of occurrence","Final figure, complete","2014","25",""
"Åland Islands","2012","Total","April","Data tabulated by year of occurrence","Final figure, complete","2014","26",""
"Åland Islands","2012","Total","May","Data tabulated by year of occurrence","Final figure, complete","2014","23",""
"Åland Islands","2012","Total","June","Data tabulated by year of occurrence","Final figure, complete","2014","33",""
"Åland Islands","2012","Total","July","Data tabulated by year of occurrence","Final figure, complete","2014","26",""
"Åland Islands","2012","Total","August","Data tabulated by year of occurrence","Final figure, complete","2014","27",""
"Åland Islands","2012","Total","September","Data tabulated by year of occurrence","Final figure, complete","2014","18",""
"Åland Islands","2012","Total","October","Data tabulated by year of occurrence","Final figure, complete","2014","21",""
"Åland Islands","2012","Total","November","Data tabulated by year of occurrence","Final figure, complete","2014","23",""
"Åland Islands","2012","Total","December","Data tabulated by year of occurrence","Final figure, complete","2014","14",""
"Albania","2017","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2019","30869",""
"Albania","2017","Total","January","Data tabulated by year of occurrence","Final figure, complete","2019","2423",""
"Albania","2017","Total","February","Data tabulated by year of occurrence","Final figure, complete","2019","2169",""
"Albania","2017","Total","March","Data tabulated by year of occurrence","Final figure, complete","2019","2324",""
"Albania","2017","Total","April","Data tabulated by year of occurrence","Final figure, complete","2019","2231",""
"Albania","2017","Total","May","Data tabulated by year of occurrence","Final figure, complete","2019","2541",""
"Albania","2017","Total","June","Data tabulated by year of occurrence","Final figure, complete","2019","2711",""
"Albania","2017","Total","July","Data tabulated by year of occurrence","Final figure, complete","2019","2814",""
"Albania","2017","Total","August","Data tabulated by year of occurrence","Final figure, complete","2019","2827",""
"Albania","2017","Total","September","Data tabulated by year of occurrence","Final figure, complete","2019","2898",""
"Albania","2017","Total","October","Data tabulated by year of occurrence","Final figure, complete","2019","2803",""
"Albania","2017","Total","November","Data tabulated by year of occurrence","Final figure, complete","2019","2538",""
"Albania","2017","Total","December","Data tabulated by year of occurrence","Final figure, complete","2019","2590",""
"Albania","2016","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2018","31733",""
"Albania","2016","Total","January","Data tabulated by year of occurrence","Final figure, complete","2018","2517",""
"Albania","2016","Total","February","Data tabulated by year of occurrence","Final figure, complete","2018","2274",""
"Albania","2016","Total","March","Data tabulated by year of occurrence","Final figure, complete","2018","2372",""
"Albania","2016","Total","April","Data tabulated by year of occurrence","Final figure, complete","2018","2269",""
"Albania","2016","Total","May","Data tabulated by year of occurrence","Final figure, complete","2018","2456",""
"Albania","2016","Total","June","Data tabulated by year of occurrence","Final figure, complete","2018","2640",""
"Albania","2016","Total","July","Data tabulated by year of occurrence","Final figure, complete","2018","2999",""
"Albania","2016","Total","August","Data tabulated by year of occurrence","Final figure, complete","2018","2946",""
"Albania","2016","Total","September","Data tabulated by year of occurrence","Final figure, complete","2018","3141",""
"Albania","2016","Total","October","Data tabulated by year of occurrence","Final figure, complete","2018","2882",""
"Albania","2016","Total","November","Data tabulated by year of occurrence","Final figure, complete","2018","2580",""
"Albania","2016","Total","December","Data tabulated by year of occurrence","Final figure, complete","2018","2657",""
"Albania","2013","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2015","35750",""
"Albania","2013","Total","January","Data tabulated by year of occurrence","Final figure, complete","2015","2839",""
"Albania","2013","Total","February","Data tabulated by year of occurrence","Final figure, complete","2015","2408",""
"Albania","2013","Total","March","Data tabulated by year of occurrence","Final figure, complete","2015","2621",""
"Albania","2013","Total","April","Data tabulated by year of occurrence","Final figure, complete","2015","2450",""
"Albania","2013","Total","May","Data tabulated by year of occurrence","Final figure, complete","2015","2870",""
"Albania","2013","Total","June","Data tabulated by year of occurrence","Final figure, complete","2015","3062",""
"Albania","2013","Total","July","Data tabulated by year of occurrence","Final figure, complete","2015","3451",""
"Albania","2013","Total","August","Data tabulated by year of occurrence","Final figure, complete","2015","3258",""
"Albania","2013","Total","September","Data tabulated by year of occurrence","Final figure, complete","2015","3499",""
"Albania","2013","Total","October","Data tabulated by year of occurrence","Final figure, complete","2015","3429",""
"Albania","2013","Total","November","Data tabulated by year of occurrence","Final figure, complete","2015","2949",""
"Albania","2013","Total","December","Data tabulated by year of occurrence","Final figure, complete","2015","2914",""
"Algeria","2016","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2017","1066822.5688115","1,2"
"Algeria","2016","Total","January","Data tabulated by year of occurrence","Final figure, complete","2017","90053.2340148781","1,2"
"Algeria","2016","Total","February","Data tabulated by year of occurrence","Final figure, complete","2017","80817.9662504065","1,2"
"Algeria","2016","Total","March","Data tabulated by year of occurrence","Final figure, complete","2017","82052.3039698928","1,2"
"Algeria","2016","Total","April","Data tabulated by year of occurrence","Final figure, complete","2017","72627.9482690166","1,2"
"Algeria","2016","Total","May","Data tabulated by year of occurrence","Final figure, complete","2017","83774.5968474398","1,2"
"Algeria","2016","Total","June","Data tabulated by year of occurrence","Final figure, complete","2017","94697.2857549861","1,2"
"Algeria","2016","Total","July","Data tabulated by year of occurrence","Final figure, complete","2017","103567.539226912","1,2"
"Algeria","2016","Total","August","Data tabulated by year of occurrence","Final figure, complete","2017","103697.632668429","1,2"
"Algeria","2016","Total","September","Data tabulated by year of occurrence","Final figure, complete","2017","93479.2152684656","1,2"
"Algeria","2016","Total","October","Data tabulated by year of occurrence","Final figure, complete","2017","92678.8624240575","1,2"
"Algeria","2016","Total","November","Data tabulated by year of occurrence","Final figure, complete","2017","85028.1102540026","1,2"
"Algeria","2016","Total","December","Data tabulated by year of occurrence","Final figure, complete","2017","84347.8738630165","1,2"
"Algeria","2015","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2016","1040284.91834778","1,2"
"Algeria","2015","Total","January","Data tabulated by year of occurrence","Final figure, complete","2016","85534.2596084338","1,2"
"Algeria","2015","Total","February","Data tabulated by year of occurrence","Final figure, complete","2016","74998.6388194642","1,2"
"Algeria","2015","Total","March","Data tabulated by year of occurrence","Final figure, complete","2016","83032.5403488728","1,2"
"Algeria","2015","Total","April","Data tabulated by year of occurrence","Final figure, complete","2016","73720.1712368116","1,2"
"Algeria","2015","Total","May","Data tabulated by year of occurrence","Final figure, complete","2016","79301.562209042","1,2"
"Algeria","2015","Total","June","Data tabulated by year of occurrence","Final figure, complete","2016","92716.8848337415","1,2"
"Algeria","2015","Total","July","Data tabulated by year of occurrence","Final figure, complete","2016","101842.999125843","1,2"
"Algeria","2015","Total","August","Data tabulated by year of occurrence","Final figure, complete","2016","101051.922719283","1,2"
"Algeria","2015","Total","September","Data tabulated by year of occurrence","Final figure, complete","2016","92881.9154424446","1,2"
"Algeria","2015","Total","October","Data tabulated by year of occurrence","Final figure, complete","2016","89373.0999750635","1,2"
"Algeria","2015","Total","November","Data tabulated by year of occurrence","Final figure, complete","2016","82372.3851977034","1,2"
"Algeria","2015","Total","December","Data tabulated by year of occurrence","Final figure, complete","2016","83458.538831074","1,2"
"Algeria","2014","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2015","1014247.3181892","1,2"
"Algeria","2014","Total","January","Data tabulated by year of occurrence","Final figure, complete","2015","84958.0465249406","1,2"
"Algeria","2014","Total","February","Data tabulated by year of occurrence","Final figure, complete","2015","74815.4593370502","1,2"
"Algeria","2014","Total","March","Data tabulated by year of occurrence","Final figure, complete","2015","83637.6875982916","1,2"
"Algeria","2014","Total","April","Data tabulated by year of occurrence","Final figure, complete","2015","74173.5288625009","1,2"
"Algeria","2014","Total","May","Data tabulated by year of occurrence","Final figure, complete","2015","77209.053138207","1,2"
"Algeria","2014","Total","June","Data tabulated by year of occurrence","Final figure, complete","2015","90212.2307068642","1,2"
"Algeria","2014","Total","July","Data tabulated by year of occurrence","Final figure, complete","2015","95563.4873211211","1,2"
"Algeria","2014","Total","August","Data tabulated by year of occurrence","Final figure, complete","2015","96919.9032748413","1,2"
"Algeria","2014","Total","September","Data tabulated by year of occurrence","Final figure, complete","2015","89556.119777644","1,2"
"Algeria","2014","Total","October","Data tabulated by year of occurrence","Final figure, complete","2015","86805.4668612119","1,2"
"Algeria","2014","Total","November","Data tabulated by year of occurrence","Final figure, complete","2015","80628.9110303587","1,2"
"Algeria","2014","Total","December","Data tabulated by year of occurrence","Final figure, complete","2015","79767.6937561703","1,2"
"Algeria","2013","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2015","962722.203793008","1,2"
"Algeria","2013","Total","January","Data tabulated by year of occurrence","Final figure, complete","2015","80349.8444082103","1,2"
"Algeria","2013","Total","February","Data tabulated by year of occurrence","Final figure, complete","2015","69534.1583978326","1,2"
"Algeria","2013","Total","March","Data tabulated by year of occurrence","Final figure, complete","2015","74800.4404281965","1,2"
"Algeria","2013","Total","April","Data tabulated by year of occurrence","Final figure, complete","2015","72840.9695711468","1,2"
"Algeria","2013","Total","May","Data tabulated by year of occurrence","Final figure, complete","2015","70909.3763518008","1,2"
"Algeria","2013","Total","June","Data tabulated by year of occurrence","Final figure, complete","2015","81732.0468541452","1,2"
"Algeria","2013","Total","July","Data tabulated by year of occurrence","Final figure, complete","2015","95954.5522379369","1,2"
"Algeria","2013","Total","August","Data tabulated by year of occurrence","Final figure, complete","2015","93279.0214795789","1,2"
"Algeria","2013","Total","September","Data tabulated by year of occurrence","Final figure, complete","2015","85836.1745538299","1,2"
"Algeria","2013","Total","October","Data tabulated by year of occurrence","Final figure, complete","2015","82274.3591886199","1,2"
"Algeria","2013","Total","November","Data tabulated by year of occurrence","Final figure, complete","2015","76125.7569334364","1,2"
"Algeria","2013","Total","December","Data tabulated by year of occurrence","Final figure, complete","2015","79085.503388274","1,2"
"Algeria","2012","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2015","978233.370155743","1,2"
"Algeria","2012","Total","January","Data tabulated by year of occurrence","Final figure, complete","2015","79804.7424790498","1,2"
"Algeria","2012","Total","February","Data tabulated by year of occurrence","Final figure, complete","2015","73456.0751993567","1,2"
"Algeria","2012","Total","March","Data tabulated by year of occurrence","Final figure, complete","2015","77594.1987956299","1,2"
"Algeria","2012","Total","April","Data tabulated by year of occurrence","Final figure, complete","2015","79849.7364742477","1,2"
"Algeria","2012","Total","May","Data tabulated by year of occurrence","Final figure, complete","2015","76541.7817291933","1,2"
"Algeria","2012","Total","June","Data tabulated by year of occurrence","Final figure, complete","2015","79821.645129699","1,2"
"Algeria","2012","Total","July","Data tabulated by year of occurrence","Final figure, complete","2015","96123.6729915489","1,2"
"Algeria","2012","Total","August","Data tabulated by year of occurrence","Final figure, complete","2015","95523.5898739934","1,2"
"Algeria","2012","Total","September","Data tabulated by year of occurrence","Final figure, complete","2015","85935.2973112437","1,2"
"Algeria","2012","Total","October","Data tabulated by year of occurrence","Final figure, complete","2015","83555.581548551","1,2"
"Algeria","2012","Total","November","Data tabulated by year of occurrence","Final figure, complete","2015","74293.3245905623","1,2"
"Algeria","2012","Total","December","Data tabulated by year of occurrence","Final figure, complete","2015","75733.7240326674","1,2"
"Algeria","2010","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2011","887810","1,2"
"Algeria","2010","Total","January","Data tabulated by year of occurrence","Final figure, complete","2011","71955","1,2"
"Algeria","2010","Total","February","Data tabulated by year of occurrence","Final figure, complete","2011","64568","1,2"
"Algeria","2010","Total","March","Data tabulated by year of occurrence","Final figure, complete","2011","69952","1,2"
"Algeria","2010","Total","April","Data tabulated by year of occurrence","Final figure, complete","2011","70489","1,2"
"Algeria","2010","Total","May","Data tabulated by year of occurrence","Final figure, complete","2011","74095","1,2"
"Algeria","2010","Total","June","Data tabulated by year of occurrence","Final figure, complete","2011","70386","1,2"
"Algeria","2010","Total","July","Data tabulated by year of occurrence","Final figure, complete","2011","79997","1,2"
"Algeria","2010","Total","August","Data tabulated by year of occurrence","Final figure, complete","2011","88522","1,2"
"Algeria","2010","Total","September","Data tabulated by year of occurrence","Final figure, complete","2011","78799","1,2"
"Algeria","2010","Total","October","Data tabulated by year of occurrence","Final figure, complete","2011","76416","1,2"
"Algeria","2010","Total","November","Data tabulated by year of occurrence","Final figure, complete","2011","71596","1,2"
"Algeria","2010","Total","December","Data tabulated by year of occurrence","Final figure, complete","2011","71035","1,2"
"American Samoa","2017","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2018","1001",""
"American Samoa","2017","Total","January","Data tabulated by year of occurrence","Final figure, complete","2018","75",""
"American Samoa","2017","Total","February","Data tabulated by year of occurrence","Final figure, complete","2018","90",""
"American Samoa","2017","Total","March","Data tabulated by year of occurrence","Final figure, complete","2018","100",""
"American Samoa","2017","Total","April","Data tabulated by year of occurrence","Final figure, complete","2018","79",""
"American Samoa","2017","Total","May","Data tabulated by year of occurrence","Final figure, complete","2018","91",""
"American Samoa","2017","Total","June","Data tabulated by year of occurrence","Final figure, complete","2018","66",""
"American Samoa","2017","Total","July","Data tabulated by year of occurrence","Final figure, complete","2018","85",""
"American Samoa","2017","Total","August","Data tabulated by year of occurrence","Final figure, complete","2018","85",""
"American Samoa","2017","Total","September","Data tabulated by year of occurrence","Final figure, complete","2018","96",""
"American Samoa","2017","Total","October","Data tabulated by year of occurrence","Final figure, complete","2018","59",""
"American Samoa","2017","Total","November","Data tabulated by year of occurrence","Final figure, complete","2018","84",""
"American Samoa","2017","Total","December","Data tabulated by year of occurrence","Final figure, complete","2018","91",""
"American Samoa","2016","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2018","1013",""
"American Samoa","2016","Total","January","Data tabulated by year of occurrence","Final figure, complete","2018","90",""
"American Samoa","2016","Total","February","Data tabulated by year of occurrence","Final figure, complete","2018","92",""
"American Samoa","2016","Total","March","Data tabulated by year of occurrence","Final figure, complete","2018","80",""
"American Samoa","2016","Total","April","Data tabulated by year of occurrence","Final figure, complete","2018","85",""
"American Samoa","2016","Total","May","Data tabulated by year of occurrence","Final figure, complete","2018","118",""
"American Samoa","2016","Total","June","Data tabulated by year of occurrence","Final figure, complete","2018","87",""
"American Samoa","2016","Total","July","Data tabulated by year of occurrence","Final figure, complete","2018","80",""
"American Samoa","2016","Total","August","Data tabulated by year of occurrence","Final figure, complete","2018","87",""
"American Samoa","2016","Total","September","Data tabulated by year of occurrence","Final figure, complete","2018","74",""
"American Samoa","2016","Total","October","Data tabulated by year of occurrence","Final figure, complete","2018","89",""
"American Samoa","2016","Total","November","Data tabulated by year of occurrence","Final figure, complete","2018","64",""
"American Samoa","2016","Total","December","Data tabulated by year of occurrence","Final figure, complete","2018","67",""
"American Samoa","2015","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2018","1096",""
"American Samoa","2015","Total","January","Data tabulated by year of occurrence","Final figure, complete","2018","80",""
"American Samoa","2015","Total","February","Data tabulated by year of occurrence","Final figure, complete","2018","88",""
"American Samoa","2015","Total","March","Data tabulated by year of occurrence","Final figure, complete","2018","92",""
"American Samoa","2015","Total","April","Data tabulated by year of occurrence","Final figure, complete","2018","100",""
"American Samoa","2015","Total","May","Data tabulated by year of occurrence","Final figure, complete","2018","100",""
"American Samoa","2015","Total","June","Data tabulated by year of occurrence","Final figure, complete","2018","107",""
"American Samoa","2015","Total","July","Data tabulated by year of occurrence","Final figure, complete","2018","103",""
"American Samoa","2015","Total","August","Data tabulated by year of occurrence","Final figure, complete","2018","87",""
"American Samoa","2015","Total","September","Data tabulated by year of occurrence","Final figure, complete","2018","85",""
"American Samoa","2015","Total","October","Data tabulated by year of occurrence","Final figure, complete","2018","81",""
"American Samoa","2015","Total","November","Data tabulated by year of occurrence","Final figure, complete","2018","81",""
"American Samoa","2015","Total","December","Data tabulated by year of occurrence","Final figure, complete","2018","92",""
"American Samoa","2014","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2015","1084",""
"American Samoa","2014","Total","January","Data tabulated by year of occurrence","Final figure, complete","2015","94",""
"American Samoa","2014","Total","February","Data tabulated by year of occurrence","Final figure, complete","2015","99",""
"American Samoa","2014","Total","March","Data tabulated by year of occurrence","Final figure, complete","2015","96",""
"American Samoa","2014","Total","April","Data tabulated by year of occurrence","Final figure, complete","2015","91",""
"American Samoa","2014","Total","May","Data tabulated by year of occurrence","Final figure, complete","2015","98",""
"American Samoa","2014","Total","June","Data tabulated by year of occurrence","Final figure, complete","2015","93",""
"American Samoa","2014","Total","July","Data tabulated by year of occurrence","Final figure, complete","2015","92",""
"American Samoa","2014","Total","August","Data tabulated by year of occurrence","Final figure, complete","2015","80",""
"American Samoa","2014","Total","September","Data tabulated by year of occurrence","Final figure, complete","2015","97",""
"American Samoa","2014","Total","October","Data tabulated by year of occurrence","Final figure, complete","2015","88",""
"American Samoa","2014","Total","November","Data tabulated by year of occurrence","Final figure, complete","2015","87",""
"American Samoa","2014","Total","December","Data tabulated by year of occurrence","Final figure, complete","2015","69",""
"American Samoa","2013","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2015","1161",""
"American Samoa","2013","Total","January","Data tabulated by year of occurrence","Final figure, complete","2015","105",""
"American Samoa","2013","Total","February","Data tabulated by year of occurrence","Final figure, complete","2015","97",""
"American Samoa","2013","Total","March","Data tabulated by year of occurrence","Final figure, complete","2015","98",""
"American Samoa","2013","Total","April","Data tabulated by year of occurrence","Final figure, complete","2015","102",""
"American Samoa","2013","Total","May","Data tabulated by year of occurrence","Final figure, complete","2015","102",""
"American Samoa","2013","Total","June","Data tabulated by year of occurrence","Final figure, complete","2015","97",""
"American Samoa","2013","Total","July","Data tabulated by year of occurrence","Final figure, complete","2015","96",""
"American Samoa","2013","Total","August","Data tabulated by year of occurrence","Final figure, complete","2015","91",""
"American Samoa","2013","Total","September","Data tabulated by year of occurrence","Final figure, complete","2015","106",""
"American Samoa","2013","Total","October","Data tabulated by year of occurrence","Final figure, complete","2015","94",""
"American Samoa","2013","Total","November","Data tabulated by year of occurrence","Final figure, complete","2015","87",""
"American Samoa","2013","Total","December","Data tabulated by year of occurrence","Final figure, complete","2015","86",""
"American Samoa","2012","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2015","1175",""
"American Samoa","2012","Total","January","Data tabulated by year of occurrence","Final figure, complete","2015","94",""
"American Samoa","2012","Total","February","Data tabulated by year of occurrence","Final figure, complete","2015","89",""
"American Samoa","2012","Total","March","Data tabulated by year of occurrence","Final figure, complete","2015","91",""
"American Samoa","2012","Total","April","Data tabulated by year of occurrence","Final figure, complete","2015","93",""
"American Samoa","2012","Total","May","Data tabulated by year of occurrence","Final figure, complete","2015","96",""
"American Samoa","2012","Total","June","Data tabulated by year of occurrence","Final figure, complete","2015","110",""
"American Samoa","2012","Total","July","Data tabulated by year of occurrence","Final figure, complete","2015","126",""
"American Samoa","2012","Total","August","Data tabulated by year of occurrence","Final figure, complete","2015","102",""
"American Samoa","2012","Total","September","Data tabulated by year of occurrence","Final figure, complete","2015","81",""
"American Samoa","2012","Total","October","Data tabulated by year of occurrence","Final figure, complete","2015","88",""
"American Samoa","2012","Total","November","Data tabulated by year of occurrence","Final figure, complete","2015","104",""
"American Samoa","2012","Total","December","Data tabulated by year of occurrence","Final figure, complete","2015","101",""
"American Samoa","2011","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2012","1287",""
"American Samoa","2011","Total","January","Data tabulated by year of occurrence","Final figure, complete","2012","90",""
"American Samoa","2011","Total","February","Data tabulated by year of occurrence","Final figure, complete","2012","97",""
"American Samoa","2011","Total","March","Data tabulated by year of occurrence","Final figure, complete","2012","115",""
"American Samoa","2011","Total","April","Data tabulated by year of occurrence","Final figure, complete","2012","116",""
"American Samoa","2011","Total","May","Data tabulated by year of occurrence","Final figure, complete","2012","139",""
"American Samoa","2011","Total","June","Data tabulated by year of occurrence","Final figure, complete","2012","104",""
"American Samoa","2011","Total","July","Data tabulated by year of occurrence","Final figure, complete","2012","107",""
"American Samoa","2011","Total","August","Data tabulated by year of occurrence","Final figure, complete","2012","102",""
"American Samoa","2011","Total","September","Data tabulated by year of occurrence","Final figure, complete","2012","120",""
"American Samoa","2011","Total","October","Data tabulated by year of occurrence","Final figure, complete","2012","97",""
"American Samoa","2011","Total","November","Data tabulated by year of occurrence","Final figure, complete","2012","111",""
"American Samoa","2011","Total","December","Data tabulated by year of occurrence","Final figure, complete","2012","89",""
"American Samoa","2010","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2012","1279",""
"American Samoa","2010","Total","January","Data tabulated by year of occurrence","Final figure, complete","2012","110",""
"American Samoa","2010","Total","February","Data tabulated by year of occurrence","Final figure, complete","2012","108",""
"American Samoa","2010","Total","March","Data tabulated by year of occurrence","Final figure, complete","2012","125",""
"American Samoa","2010","Total","April","Data tabulated by year of occurrence","Final figure, complete","2012","133",""
"American Samoa","2010","Total","May","Data tabulated by year of occurrence","Final figure, complete","2012","125",""
"American Samoa","2010","Total","June","Data tabulated by year of occurrence","Final figure, complete","2012","117",""
"American Samoa","2010","Total","July","Data tabulated by year of occurrence","Final figure, complete","2012","112",""
"American Samoa","2010","Total","August","Data tabulated by year of occurrence","Final figure, complete","2012","93",""
"American Samoa","2010","Total","September","Data tabulated by year of occurrence","Final figure, complete","2012","94",""
"American Samoa","2010","Total","October","Data tabulated by year of occurrence","Final figure, complete","2012","83",""
"American Samoa","2010","Total","November","Data tabulated by year of occurrence","Final figure, complete","2012","93",""
"American Samoa","2010","Total","December","Data tabulated by year of occurrence","Final figure, complete","2012","86",""
"Andorra","2015","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2017","659",""
"Andorra","2015","Total","January","Data tabulated by year of occurrence","Final figure, complete","2017","44",""
"Andorra","2015","Total","February","Data tabulated by year of occurrence","Final figure, complete","2017","68",""
