"Country or Area","Year","Area","Month","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Åland Islands","2014","Total","January","Data tabulated by year of occurrence","Final figure, complete","2016","26",""
"Åland Islands","2014","Total","February","Data tabulated by year of occurrence","Final figure, complete","2016","11",""
"Åland Islands","2014","Total","March","Data tabulated by year of occurrence","Final figure, complete","2016","19",""
"Åland Islands","2014","Total","April","Data tabulated by year of occurrence","Final figure, complete","2016","19",""
"Åland Islands","2014","Total","May","Data tabulated by year of occurrence","Final figure, complete","2016","22",""
"Åland Islands","2014","Total","June","Data tabulated by year of occurrence","Final figure, complete","2016","12",""
"Åland Islands","2014","Total","July","Data tabulated by year of occurrence","Final figure, complete","2016","17",""
"Åland Islands","2014","Total","August","Data tabulated by year of occurrence","Final figure, complete","2016","29",""
"Åland Islands","2014","Total","September","Data tabulated by year of occurrence","Final figure, complete","2016","26",""
"Åland Islands","2014","Total","October","Data tabulated by year of occurrence","Final figure, complete","2016","25",""
"Åland Islands","2014","Total","November","Data tabulated by year of occurrence","Final figure, complete","2016","17",""
"Åland Islands","2014","Total","December","Data tabulated by year of occurrence","Final figure, complete","2016","28",""
"Åland Islands","2013","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2015","269",""
"Åland Islands","2013","Total","January","Data tabulated by year of occurrence","Final figure, complete","2015","26",""
"Åland Islands","2013","Total","February","Data tabulated by year of occurrence","Final figure, complete","2015","14",""
"Åland Islands","2013","Total","March","Data tabulated by year of occurrence","Final figure, complete","2015","19",""
"Åland Islands","2013","Total","April","Data tabulated by year of occurrence","Final figure, complete","2015","19",""
"Åland Islands","2013","Total","May","Data tabulated by year of occurrence","Final figure, complete","2015","29",""
"Åland Islands","2013","Total","June","Data tabulated by year of occurrence","Final figure, complete","2015","26",""
"Åland Islands","2013","Total","July","Data tabulated by year of occurrence","Final figure, complete","2015","18",""
"Åland Islands","2013","Total","August","Data tabulated by year of occurrence","Final figure, complete","2015","24",""
"Åland Islands","2013","Total","September","Data tabulated by year of occurrence","Final figure, complete","2015","17",""
"Åland Islands","2013","Total","October","Data tabulated by year of occurrence","Final figure, complete","2015","29",""
"Åland Islands","2013","Total","November","Data tabulated by year of occurrence","Final figure, complete","2015","20",""
"Åland Islands","2013","Total","December","Data tabulated by year of occurrence","Final figure, complete","2015","28",""
"Åland Islands","2012","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2014","323",""
"Åland Islands","2012","Total","January","Data tabulated by year of occurrence","Final figure, complete","2014","35",""
"Åland Islands","2012","Total","February","Data tabulated by year of occurrence","Final figure, complete","2014","27",""
"Åland Islands","2012","Total","March","Data tabulated by year of occurrence","Final figure, complete","2014","32",""
"Åland Islands","2012","Total","April","Data tabulated by year of occurrence","Final figure, complete","2014","26",""
"Åland Islands","2012","Total","May","Data tabulated by year of occurrence","Final figure, complete","2014","19",""
"Åland Islands","2012","Total","June","Data tabulated by year of occurrence","Final figure, complete","2014","27",""
"Åland Islands","2012","Total","July","Data tabulated by year of occurrence","Final figure, complete","2014","30",""
"Åland Islands","2012","Total","August","Data tabulated by year of occurrence","Final figure, complete","2014","27",""
"Åland Islands","2012","Total","September","Data tabulated by year of occurrence","Final figure, complete","2014","18",""
"Åland Islands","2012","Total","October","Data tabulated by year of occurrence","Final figure, complete","2014","24",""
"Åland Islands","2012","Total","November","Data tabulated by year of occurrence","Final figure, complete","2014","25",""
"Åland Islands","2012","Total","December","Data tabulated by year of occurrence","Final figure, complete","2014","33",""
"Albania","2017","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2019","22232",""
"Albania","2017","Total","January","Data tabulated by year of occurrence","Final figure, complete","2019","3129",""
"Albania","2017","Total","February","Data tabulated by year of occurrence","Final figure, complete","2019","1845",""
"Albania","2017","Total","March","Data tabulated by year of occurrence","Final figure, complete","2019","1817",""
"Albania","2017","Total","April","Data tabulated by year of occurrence","Final figure, complete","2019","1665",""
"Albania","2017","Total","May","Data tabulated by year of occurrence","Final figure, complete","2019","1660",""
"Albania","2017","Total","June","Data tabulated by year of occurrence","Final figure, complete","2019","1605",""
"Albania","2017","Total","July","Data tabulated by year of occurrence","Final figure, complete","2019","1788",""
"Albania","2017","Total","August","Data tabulated by year of occurrence","Final figure, complete","2019","1833",""
"Albania","2017","Total","September","Data tabulated by year of occurrence","Final figure, complete","2019","1482",""
"Albania","2017","Total","October","Data tabulated by year of occurrence","Final figure, complete","2019","1679",""
"Albania","2017","Total","November","Data tabulated by year of occurrence","Final figure, complete","2019","1716",""
"Albania","2017","Total","December","Data tabulated by year of occurrence","Final figure, complete","2019","2013",""
"Albania","2016","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2018","21388",""
"Albania","2016","Total","January","Data tabulated by year of occurrence","Final figure, complete","2018","2065",""
"Albania","2016","Total","February","Data tabulated by year of occurrence","Final figure, complete","2018","1905",""
"Albania","2016","Total","March","Data tabulated by year of occurrence","Final figure, complete","2018","1910",""
"Albania","2016","Total","April","Data tabulated by year of occurrence","Final figure, complete","2018","1652",""
"Albania","2016","Total","May","Data tabulated by year of occurrence","Final figure, complete","2018","1716",""
"Albania","2016","Total","June","Data tabulated by year of occurrence","Final figure, complete","2018","1678",""
"Albania","2016","Total","July","Data tabulated by year of occurrence","Final figure, complete","2018","1643",""
"Albania","2016","Total","August","Data tabulated by year of occurrence","Final figure, complete","2018","1578",""
"Albania","2016","Total","September","Data tabulated by year of occurrence","Final figure, complete","2018","1459",""
"Albania","2016","Total","October","Data tabulated by year of occurrence","Final figure, complete","2018","1743",""
"Albania","2016","Total","November","Data tabulated by year of occurrence","Final figure, complete","2018","1855",""
"Albania","2016","Total","December","Data tabulated by year of occurrence","Final figure, complete","2018","2184",""
"Albania","2013","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2015","20442",""
"Albania","2013","Total","January","Data tabulated by year of occurrence","Final figure, complete","2015","2037",""
"Albania","2013","Total","February","Data tabulated by year of occurrence","Final figure, complete","2015","1675",""
"Albania","2013","Total","March","Data tabulated by year of occurrence","Final figure, complete","2015","1960",""
"Albania","2013","Total","April","Data tabulated by year of occurrence","Final figure, complete","2015","1766",""
"Albania","2013","Total","May","Data tabulated by year of occurrence","Final figure, complete","2015","1618",""
"Albania","2013","Total","June","Data tabulated by year of occurrence","Final figure, complete","2015","1565",""
"Albania","2013","Total","July","Data tabulated by year of occurrence","Final figure, complete","2015","1551",""
"Albania","2013","Total","August","Data tabulated by year of occurrence","Final figure, complete","2015","1646",""
"Albania","2013","Total","September","Data tabulated by year of occurrence","Final figure, complete","2015","1481",""
"Albania","2013","Total","October","Data tabulated by year of occurrence","Final figure, complete","2015","1652",""
"Albania","2013","Total","November","Data tabulated by year of occurrence","Final figure, complete","2015","1570",""
"Albania","2013","Total","December","Data tabulated by year of occurrence","Final figure, complete","2015","1921",""
"American Samoa","2017","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2018","310",""
"American Samoa","2017","Total","January","Data tabulated by year of occurrence","Final figure, complete","2018","25",""
"American Samoa","2017","Total","February","Data tabulated by year of occurrence","Final figure, complete","2018","19",""
"American Samoa","2017","Total","March","Data tabulated by year of occurrence","Final figure, complete","2018","24",""
"American Samoa","2017","Total","April","Data tabulated by year of occurrence","Final figure, complete","2018","19",""
"American Samoa","2017","Total","May","Data tabulated by year of occurrence","Final figure, complete","2018","26",""
"American Samoa","2017","Total","June","Data tabulated by year of occurrence","Final figure, complete","2018","31",""
"American Samoa","2017","Total","July","Data tabulated by year of occurrence","Final figure, complete","2018","28",""
"American Samoa","2017","Total","August","Data tabulated by year of occurrence","Final figure, complete","2018","25",""
"American Samoa","2017","Total","September","Data tabulated by year of occurrence","Final figure, complete","2018","28",""
"American Samoa","2017","Total","October","Data tabulated by year of occurrence","Final figure, complete","2018","31",""
"American Samoa","2017","Total","November","Data tabulated by year of occurrence","Final figure, complete","2018","23",""
"American Samoa","2017","Total","December","Data tabulated by year of occurrence","Final figure, complete","2018","31",""
"American Samoa","2016","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2018","280",""
"American Samoa","2016","Total","January","Data tabulated by year of occurrence","Final figure, complete","2018","28",""
"American Samoa","2016","Total","February","Data tabulated by year of occurrence","Final figure, complete","2018","23",""
"American Samoa","2016","Total","March","Data tabulated by year of occurrence","Final figure, complete","2018","27",""
"American Samoa","2016","Total","April","Data tabulated by year of occurrence","Final figure, complete","2018","24",""
"American Samoa","2016","Total","May","Data tabulated by year of occurrence","Final figure, complete","2018","44",""
"American Samoa","2016","Total","June","Data tabulated by year of occurrence","Final figure, complete","2018","23",""
"American Samoa","2016","Total","July","Data tabulated by year of occurrence","Final figure, complete","2018","14",""
"American Samoa","2016","Total","August","Data tabulated by year of occurrence","Final figure, complete","2018","21",""
"American Samoa","2016","Total","September","Data tabulated by year of occurrence","Final figure, complete","2018","21",""
"American Samoa","2016","Total","October","Data tabulated by year of occurrence","Final figure, complete","2018","13",""
"American Samoa","2016","Total","November","Data tabulated by year of occurrence","Final figure, complete","2018","27",""
"American Samoa","2016","Total","December","Data tabulated by year of occurrence","Final figure, complete","2018","15",""
"American Samoa","2015","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2018","314",""
"American Samoa","2015","Total","January","Data tabulated by year of occurrence","Final figure, complete","2018","35",""
"American Samoa","2015","Total","February","Data tabulated by year of occurrence","Final figure, complete","2018","22",""
"American Samoa","2015","Total","March","Data tabulated by year of occurrence","Final figure, complete","2018","17",""
"American Samoa","2015","Total","April","Data tabulated by year of occurrence","Final figure, complete","2018","24",""
"American Samoa","2015","Total","May","Data tabulated by year of occurrence","Final figure, complete","2018","28",""
"American Samoa","2015","Total","June","Data tabulated by year of occurrence","Final figure, complete","2018","23",""
"American Samoa","2015","Total","July","Data tabulated by year of occurrence","Final figure, complete","2018","28",""
"American Samoa","2015","Total","August","Data tabulated by year of occurrence","Final figure, complete","2018","20",""
"American Samoa","2015","Total","September","Data tabulated by year of occurrence","Final figure, complete","2018","22",""
"American Samoa","2015","Total","October","Data tabulated by year of occurrence","Final figure, complete","2018","37",""
"American Samoa","2015","Total","November","Data tabulated by year of occurrence","Final figure, complete","2018","31",""
"American Samoa","2015","Total","December","Data tabulated by year of occurrence","Final figure, complete","2018","27",""
"American Samoa","2014","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2015","259",""
"American Samoa","2014","Total","January","Data tabulated by year of occurrence","Final figure, complete","2015","24",""
"American Samoa","2014","Total","February","Data tabulated by year of occurrence","Final figure, complete","2015","27",""
"American Samoa","2014","Total","March","Data tabulated by year of occurrence","Final figure, complete","2015","14",""
"American Samoa","2014","Total","April","Data tabulated by year of occurrence","Final figure, complete","2015","24",""
"American Samoa","2014","Total","May","Data tabulated by year of occurrence","Final figure, complete","2015","26",""
"American Samoa","2014","Total","June","Data tabulated by year of occurrence","Final figure, complete","2015","14",""
"American Samoa","2014","Total","July","Data tabulated by year of occurrence","Final figure, complete","2015","26",""
"American Samoa","2014","Total","August","Data tabulated by year of occurrence","Final figure, complete","2015","21",""
"American Samoa","2014","Total","September","Data tabulated by year of occurrence","Final figure, complete","2015","14",""
"American Samoa","2014","Total","October","Data tabulated by year of occurrence","Final figure, complete","2015","31",""
"American Samoa","2014","Total","November","Data tabulated by year of occurrence","Final figure, complete","2015","15",""
"American Samoa","2014","Total","December","Data tabulated by year of occurrence","Final figure, complete","2015","23",""
"American Samoa","2013","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2015","270",""
"American Samoa","2013","Total","January","Data tabulated by year of occurrence","Final figure, complete","2015","25",""
"American Samoa","2013","Total","February","Data tabulated by year of occurrence","Final figure, complete","2015","35",""
"American Samoa","2013","Total","March","Data tabulated by year of occurrence","Final figure, complete","2015","24",""
"American Samoa","2013","Total","April","Data tabulated by year of occurrence","Final figure, complete","2015","21",""
"American Samoa","2013","Total","May","Data tabulated by year of occurrence","Final figure, complete","2015","12",""
"American Samoa","2013","Total","June","Data tabulated by year of occurrence","Final figure, complete","2015","24",""
"American Samoa","2013","Total","July","Data tabulated by year of occurrence","Final figure, complete","2015","23",""
"American Samoa","2013","Total","August","Data tabulated by year of occurrence","Final figure, complete","2015","20",""
"American Samoa","2013","Total","September","Data tabulated by year of occurrence","Final figure, complete","2015","17",""
"American Samoa","2013","Total","October","Data tabulated by year of occurrence","Final figure, complete","2015","24",""
"American Samoa","2013","Total","November","Data tabulated by year of occurrence","Final figure, complete","2015","21",""
"American Samoa","2013","Total","December","Data tabulated by year of occurrence","Final figure, complete","2015","24",""
"American Samoa","2012","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2015","282",""
"American Samoa","2012","Total","January","Data tabulated by year of occurrence","Final figure, complete","2015","26",""
"American Samoa","2012","Total","February","Data tabulated by year of occurrence","Final figure, complete","2015","25",""
"American Samoa","2012","Total","March","Data tabulated by year of occurrence","Final figure, complete","2015","25",""
"American Samoa","2012","Total","April","Data tabulated by year of occurrence","Final figure, complete","2015","23",""
"American Samoa","2012","Total","May","Data tabulated by year of occurrence","Final figure, complete","2015","22",""
"American Samoa","2012","Total","June","Data tabulated by year of occurrence","Final figure, complete","2015","19",""
"American Samoa","2012","Total","July","Data tabulated by year of occurrence","Final figure, complete","2015","29",""
"American Samoa","2012","Total","August","Data tabulated by year of occurrence","Final figure, complete","2015","22",""
"American Samoa","2012","Total","September","Data tabulated by year of occurrence","Final figure, complete","2015","26",""
"American Samoa","2012","Total","October","Data tabulated by year of occurrence","Final figure, complete","2015","20",""
"American Samoa","2012","Total","November","Data tabulated by year of occurrence","Final figure, complete","2015","28",""
"American Samoa","2012","Total","December","Data tabulated by year of occurrence","Final figure, complete","2015","17",""
"American Samoa","2011","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2012","283",""
"American Samoa","2011","Total","January","Data tabulated by year of occurrence","Final figure, complete","2012","19",""
"American Samoa","2011","Total","February","Data tabulated by year of occurrence","Final figure, complete","2012","33",""
"American Samoa","2011","Total","March","Data tabulated by year of occurrence","Final figure, complete","2012","28",""
"American Samoa","2011","Total","April","Data tabulated by year of occurrence","Final figure, complete","2012","27",""
"American Samoa","2011","Total","May","Data tabulated by year of occurrence","Final figure, complete","2012","20",""
"American Samoa","2011","Total","June","Data tabulated by year of occurrence","Final figure, complete","2012","17",""
"American Samoa","2011","Total","July","Data tabulated by year of occurrence","Final figure, complete","2012","13",""
"American Samoa","2011","Total","August","Data tabulated by year of occurrence","Final figure, complete","2012","23",""
"American Samoa","2011","Total","September","Data tabulated by year of occurrence","Final figure, complete","2012","27",""
"American Samoa","2011","Total","October","Data tabulated by year of occurrence","Final figure, complete","2012","29",""
"American Samoa","2011","Total","November","Data tabulated by year of occurrence","Final figure, complete","2012","26",""
"American Samoa","2011","Total","December","Data tabulated by year of occurrence","Final figure, complete","2012","21",""
"American Samoa","2010","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2012","247",""
"American Samoa","2010","Total","January","Data tabulated by year of occurrence","Final figure, complete","2012","26",""
"American Samoa","2010","Total","February","Data tabulated by year of occurrence","Final figure, complete","2012","18",""
"American Samoa","2010","Total","March","Data tabulated by year of occurrence","Final figure, complete","2012","23",""
"American Samoa","2010","Total","April","Data tabulated by year of occurrence","Final figure, complete","2012","28",""
"American Samoa","2010","Total","May","Data tabulated by year of occurrence","Final figure, complete","2012","21",""
"American Samoa","2010","Total","June","Data tabulated by year of occurrence","Final figure, complete","2012","16",""
"American Samoa","2010","Total","July","Data tabulated by year of occurrence","Final figure, complete","2012","16",""
"American Samoa","2010","Total","August","Data tabulated by year of occurrence","Final figure, complete","2012","18",""
"American Samoa","2010","Total","September","Data tabulated by year of occurrence","Final figure, complete","2012","11",""
"American Samoa","2010","Total","October","Data tabulated by year of occurrence","Final figure, complete","2012","32",""
"American Samoa","2010","Total","November","Data tabulated by year of occurrence","Final figure, complete","2012","16",""
"American Samoa","2010","Total","December","Data tabulated by year of occurrence","Final figure, complete","2012","22",""
"Andorra","2015","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2017","282",""
"Andorra","2015","Total","January","Data tabulated by year of occurrence","Final figure, complete","2017","22",""
"Andorra","2015","Total","February","Data tabulated by year of occurrence","Final figure, complete","2017","25",""
"Andorra","2015","Total","March","Data tabulated by year of occurrence","Final figure, complete","2017","29",""
"Andorra","2015","Total","April","Data tabulated by year of occurrence","Final figure, complete","2017","26",""
"Andorra","2015","Total","May","Data tabulated by year of occurrence","Final figure, complete","2017","26",""
"Andorra","2015","Total","June","Data tabulated by year of occurrence","Final figure, complete","2017","16",""
"Andorra","2015","Total","July","Data tabulated by year of occurrence","Final figure, complete","2017","27",""
"Andorra","2015","Total","August","Data tabulated by year of occurrence","Final figure, complete","2017","18",""
"Andorra","2015","Total","September","Data tabulated by year of occurrence","Final figure, complete","2017","25",""
"Andorra","2015","Total","October","Data tabulated by year of occurrence","Final figure, complete","2017","25",""
"Andorra","2015","Total","November","Data tabulated by year of occurrence","Final figure, complete","2017","16",""
"Andorra","2015","Total","December","Data tabulated by year of occurrence","Final figure, complete","2017","27",""
"Andorra","2012","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2013","303",""
"Andorra","2012","Total","January","Data tabulated by year of occurrence","Final figure, complete","2013","38",""
"Andorra","2012","Total","February","Data tabulated by year of occurrence","Final figure, complete","2013","30",""
"Andorra","2012","Total","March","Data tabulated by year of occurrence","Final figure, complete","2013","22",""
"Andorra","2012","Total","April","Data tabulated by year of occurrence","Final figure, complete","2013","21",""
"Andorra","2012","Total","May","Data tabulated by year of occurrence","Final figure, complete","2013","17",""
"Andorra","2012","Total","June","Data tabulated by year of occurrence","Final figure, complete","2013","22",""
"Andorra","2012","Total","July","Data tabulated by year of occurrence","Final figure, complete","2013","21",""
"Andorra","2012","Total","August","Data tabulated by year of occurrence","Final figure, complete","2013","30",""
"Andorra","2012","Total","September","Data tabulated by year of occurrence","Final figure, complete","2013","17",""
"Andorra","2012","Total","October","Data tabulated by year of occurrence","Final figure, complete","2013","32",""
"Andorra","2012","Total","November","Data tabulated by year of occurrence","Final figure, complete","2013","28",""
"Andorra","2012","Total","December","Data tabulated by year of occurrence","Final figure, complete","2013","25",""
"Andorra","2011","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2013","275",""
"Andorra","2011","Total","January","Data tabulated by year of occurrence","Final figure, complete","2013","17",""
"Andorra","2011","Total","February","Data tabulated by year of occurrence","Final figure, complete","2013","17",""
"Andorra","2011","Total","March","Data tabulated by year of occurrence","Final figure, complete","2013","25",""
"Andorra","2011","Total","April","Data tabulated by year of occurrence","Final figure, complete","2013","23",""
"Andorra","2011","Total","May","Data tabulated by year of occurrence","Final figure, complete","2013","32",""
"Andorra","2011","Total","June","Data tabulated by year of occurrence","Final figure, complete","2013","33",""
"Andorra","2011","Total","July","Data tabulated by year of occurrence","Final figure, complete","2013","11",""
"Andorra","2011","Total","August","Data tabulated by year of occurrence","Final figure, complete","2013","17",""
"Andorra","2011","Total","September","Data tabulated by year of occurrence","Final figure, complete","2013","26",""
"Andorra","2011","Total","October","Data tabulated by year of occurrence","Final figure, complete","2013","19",""
"Andorra","2011","Total","November","Data tabulated by year of occurrence","Final figure, complete","2013","34",""
"Andorra","2011","Total","December","Data tabulated by year of occurrence","Final figure, complete","2013","21",""
"Andorra","2010","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2011","239",""
"Andorra","2010","Total","January","Data tabulated by year of occurrence","Final figure, complete","2011","29",""
"Andorra","2010","Total","February","Data tabulated by year of occurrence","Final figure, complete","2011","19",""
"Andorra","2010","Total","March","Data tabulated by year of occurrence","Final figure, complete","2011","19",""
"Andorra","2010","Total","April","Data tabulated by year of occurrence","Final figure, complete","2011","13",""
"Andorra","2010","Total","May","Data tabulated by year of occurrence","Final figure, complete","2011","21",""
"Andorra","2010","Total","June","Data tabulated by year of occurrence","Final figure, complete","2011","14",""
"Andorra","2010","Total","July","Data tabulated by year of occurrence","Final figure, complete","2011","25",""
"Andorra","2010","Total","August","Data tabulated by year of occurrence","Final figure, complete","2011","20",""
"Andorra","2010","Total","September","Data tabulated by year of occurrence","Final figure, complete","2011","17",""
"Andorra","2010","Total","October","Data tabulated by year of occurrence","Final figure, complete","2011","25",""
"Andorra","2010","Total","November","Data tabulated by year of occurrence","Final figure, complete","2011","23",""
"Andorra","2010","Total","December","Data tabulated by year of occurrence","Final figure, complete","2011","14",""
"Andorra","2010","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2011","0",""
"Anguilla","2013","Total","Total","Data tabulated by year of registration","Final figure, complete","2014","72",""
"Anguilla","2013","Total","January","Data tabulated by year of registration","Final figure, complete","2014","7",""
"Anguilla","2013","Total","February","Data tabulated by year of registration","Final figure, complete","2014","3",""
"Anguilla","2013","Total","March","Data tabulated by year of registration","Final figure, complete","2014","7",""
"Anguilla","2013","Total","April","Data tabulated by year of registration","Final figure, complete","2014","5",""
"Anguilla","2013","Total","May","Data tabulated by year of registration","Final figure, complete","2014","5",""
"Anguilla","2013","Total","June","Data tabulated by year of registration","Final figure, complete","2014","9",""
"Anguilla","2013","Total","July","Data tabulated by year of registration","Final figure, complete","2014","1",""
"Anguilla","2013","Total","August","Data tabulated by year of registration","Final figure, complete","2014","3",""
"Anguilla","2013","Total","September","Data tabulated by year of registration","Final figure, complete","2014","12",""
"Anguilla","2013","Total","October","Data tabulated by year of registration","Final figure, complete","2014","7",""
"Anguilla","2013","Total","November","Data tabulated by year of registration","Final figure, complete","2014","2",""
"Anguilla","2013","Total","December","Data tabulated by year of registration","Final figure, complete","2014","7",""
"Anguilla","2013","Total","Unknown","Data tabulated by year of registration","Final figure, complete","2014","4",""
"Anguilla","2012","Total","Total","Data tabulated by year of registration","Final figure, complete","2014","38",""
"Anguilla","2012","Total","January","Data tabulated by year of registration","Final figure, complete","2014","6",""
"Anguilla","2012","Total","February","Data tabulated by year of registration","Final figure, complete","2014","4",""
"Anguilla","2012","Total","March","Data tabulated by year of registration","Final figure, complete","2014","5",""
"Anguilla","2012","Total","April","Data tabulated by year of registration","Final figure, complete","2014","3",""
"Anguilla","2012","Total","May","Data tabulated by year of registration","Final figure, complete","2014","5",""
"Anguilla","2012","Total","June","Data tabulated by year of registration","Final figure, complete","2014","2",""
"Anguilla","2012","Total","July","Data tabulated by year of registration","Final figure, complete","2014","7",""
"Anguilla","2012","Total","August","Data tabulated by year of registration","Final figure, complete","2014","0",""
"Anguilla","2012","Total","September","Data tabulated by year of registration","Final figure, complete","2014","2",""
"Anguilla","2012","Total","October","Data tabulated by year of registration","Final figure, complete","2014","1",""
"Anguilla","2012","Total","November","Data tabulated by year of registration","Final figure, complete","2014","0",""
"Anguilla","2012","Total","December","Data tabulated by year of registration","Final figure, complete","2014","2",""
"Anguilla","2012","Total","Unknown","Data tabulated by year of registration","Final figure, complete","2014","1",""
"Anguilla","2011","Total","Total","Data tabulated by year of registration","Final figure, complete","2014","59",""
"Anguilla","2011","Total","January","Data tabulated by year of registration","Final figure, complete","2014","6",""
"Anguilla","2011","Total","February","Data tabulated by year of registration","Final figure, complete","2014","6",""
"Anguilla","2011","Total","March","Data tabulated by year of registration","Final figure, complete","2014","5",""
"Anguilla","2011","Total","April","Data tabulated by year of registration","Final figure, complete","2014","3",""
"Anguilla","2011","Total","May","Data tabulated by year of registration","Final figure, complete","2014","7",""
"Anguilla","2011","Total","June","Data tabulated by year of registration","Final figure, complete","2014","4",""
"Anguilla","2011","Total","July","Data tabulated by year of registration","Final figure, complete","2014","6",""
"Anguilla","2011","Total","August","Data tabulated by year of registration","Final figure, complete","2014","5",""
"Anguilla","2011","Total","September","Data tabulated by year of registration","Final figure, complete","2014","7",""
"Anguilla","2011","Total","October","Data tabulated by year of registration","Final figure, complete","2014","0",""
"Anguilla","2011","Total","November","Data tabulated by year of registration","Final figure, complete","2014","3",""
"Anguilla","2011","Total","December","Data tabulated by year of registration","Final figure, complete","2014","7",""
"Armenia","2017","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2019","27157",""
"Armenia","2017","Total","January","Data tabulated by year of occurrence","Final figure, complete","2019","2817",""
